Date,Close
2012-01-04,707.107
2012-01-05,666.905
2012-01-06,669.017
2012-01-09,692.418
2012-01-10,716.453
2012-01-11,717.936
2012-01-12,709.89
2012-01-13,666.078
2012-01-16,633.908
2012-01-17,662.69
2012-01-18,624.911
2012-01-19,632.799
2012-01-20,646.383
2012-01-30,651.246
2012-01-31,648.681
2012-02-01,650.776
2012-02-02,665.402
2012-02-03,680.045
2012-02-06,686.508
2012-02-07,673.679
2012-02-08,692.303
2012-02-09,697.79
2012-02-10,698.854
2012-02-13,714.956
2012-02-14,712.296
2012-02-15,724.751
2012-02-16,721.832
2012-02-17,717.797
2012-02-20,721.099
2012-02-21,736.882
2012-02-22,759.562
2012-02-23,756.897
2012-02-24,762.29
2012-02-27,760.373
2012-02-28,747.768
2012-02-29,735.336
2012-03-01,743.148
2012-03-02,757.669
2012-03-05,759.369
2012-03-06,750.837
2012-03-07,749.266
2012-03-08,761.703
2012-03-09,777.694
2012-03-12,786.049
2012-03-13,792.378
2012-03-14,756.459
2012-03-15,746.441
2012-03-16,765.562
2012-03-19,779.557
2012-03-20,755.583
2012-03-21,751.791
2012-03-22,750.851
2012-03-23,737.892
2012-03-26,737.213
2012-03-27,735.734
2012-03-28,698.486
2012-03-29,683.959
2012-03-30,678.519
2012-04-05,697.751
2012-04-06,701.901
2012-04-09,689.715
2012-04-10,697.165
2012-04-11,698.487
2012-04-12,713.124
2012-04-13,718.959
2012-04-16,716.229
2012-04-17,709.139
2012-04-18,723.462
2012-04-19,725.12
2012-04-20,728.718
2012-04-23,690.432
2012-04-24,681.534
2012-04-25,682.524
2012-04-26,678.444
2012-04-27,685.131
2012-05-02,693.609
2012-05-03,699.306
2012-05-04,713.186
2012-05-07,733.045
2012-05-08,731.723
2012-05-09,719.35
2012-05-10,727.285
2012-05-11,721.078
2012-05-14,719.872
2012-05-15,720.115
2012-05-16,709.956
2012-05-17,716.17
2012-05-18,706.216
2012-05-21,704.803
2012-05-22,714.662
2012-05-23,713.017
2012-05-24,712.577
2012-05-25,702.724
2012-05-28,706.47
2012-05-29,720.454
2012-05-30,727.188
2012-05-31,734.454
2012-06-01,734.257
2012-06-04,717.101
2012-06-05,715.93
2012-06-06,715.24
2012-06-07,711.428
2012-06-08,713.921
2012-06-11,734.504
2012-06-12,735.294
2012-06-13,746.505
2012-06-14,740.966
2012-06-15,742.268
2012-06-18,752.978
2012-06-19,747.492
2012-06-20,748.388
2012-06-21,739.047
2012-06-25,720.6
2012-06-26,715.924
2012-06-27,718.928
2012-06-28,711.144
2012-06-29,726.684
2012-07-02,741.186
2012-07-03,743.902
2012-07-04,739.624
2012-07-05,724.313
2012-07-06,737.289
2012-07-09,722.281
2012-07-10,713.526
2012-07-11,719.299
2012-07-12,734.323
2012-07-13,725.788
2012-07-16,691.385
2012-07-17,697.003
2012-07-18,702.138
2012-07-19,709.166
2012-07-20,706.25
2012-07-23,704.573
2012-07-24,706.396
2012-07-25,708.301
2012-07-26,706.725
2012-07-27,703.581
2012-07-30,688.474
2012-07-31,676.96
2012-08-01,689.489
2012-08-02,690.982
2012-08-03,711.925
2012-08-06,730.419
2012-08-07,736.012
2012-08-08,730.065
2012-08-09,743.199
2012-08-10,743.073
2012-08-13,727.637
2012-08-14,736.347
2012-08-15,729.73
2012-08-16,723.53
2012-08-17,721.049
2012-08-20,730.866
2012-08-21,748.935
2012-08-22,746.853
2012-08-23,750.561
2012-08-24,733.309
2012-08-27,722.574
2012-08-28,727.616
2012-08-29,726.941
2012-08-30,704.035
2012-08-31,706.625
2012-09-03,723.871
2012-09-04,722.721
2012-09-05,730.616
2012-09-06,739.741
2012-09-07,759.46
2012-09-10,762.313
2012-09-11,761.731
2012-09-12,762.511
2012-09-13,749.892
2012-09-14,744.464
2012-09-17,724.145
2012-09-18,723.61
