Date,Close
2012-01-04,131.437
2012-01-05,131.454
2012-01-06,131.466
2012-01-09,131.559
2012-01-10,131.581
2012-01-11,131.578
2012-01-12,131.594
2012-01-13,131.613
2012-01-16,131.666
2012-01-17,131.65
2012-01-18,131.669
2012-01-19,131.662
2012-01-20,131.678
2012-01-30,131.795
2012-01-31,131.776
2012-02-01,131.763
2012-02-02,131.776
2012-02-03,131.79
2012-02-06,131.81
2012-02-07,131.826
2012-02-08,131.835
2012-02-09,131.835
2012-02-10,131.849
2012-02-13,131.896
2012-02-14,131.905
2012-02-15,131.917
2012-02-16,131.931
2012-02-17,131.941
2012-02-20,131.977
2012-02-21,131.987
2012-02-22,131.992
2012-02-23,132.005
2012-02-24,132.014
2012-02-27,132.045
2012-02-28,132.045
2012-02-29,132.033
2012-03-01,132.047
2012-03-02,132.066
2012-03-05,132.099
2012-03-06,132.117
2012-03-07,132.156
2012-03-08,132.14
2012-03-09,132.138
2012-03-12,132.188
2012-03-13,132.235
2012-03-14,132.246
2012-03-15,132.272
2012-03-16,132.261
2012-03-19,132.288
2012-03-20,132.297
2012-03-21,132.321
2012-03-22,132.312
2012-03-23,132.334
2012-03-26,132.384
2012-03-27,132.379
2012-03-28,132.396
2012-03-29,132.434
2012-03-30,132.461
2012-04-05,132.498
2012-04-06,132.519
2012-04-09,132.553
2012-04-10,132.565
2012-04-11,132.571
2012-04-12,132.605
2012-04-13,132.601
2012-04-16,132.629
2012-04-17,132.648
2012-04-18,132.666
2012-04-19,132.671
2012-04-20,132.691
2012-04-23,132.744
2012-04-24,132.742
2012-04-25,132.761
2012-04-26,132.782
2012-04-27,132.812
2012-05-02,132.857
2012-05-03,132.859
2012-05-04,132.9
2012-05-07,132.919
2012-05-08,132.928
2012-05-09,132.919
2012-05-10,132.936
2012-05-11,132.955
2012-05-14,132.991
2012-05-15,133.029
2012-05-16,133.059
2012-05-17,133.066
2012-05-18,133.089
2012-05-21,133.112
2012-05-22,133.138
2012-05-23,133.151
2012-05-24,133.166
2012-05-25,133.189
2012-05-28,133.256
2012-05-29,133.271
2012-05-30,133.286
2012-05-31,133.299
2012-06-01,133.295
2012-06-04,133.384
2012-06-05,133.391
2012-06-06,133.376
2012-06-07,133.39
2012-06-08,133.417
2012-06-11,133.454
2012-06-12,133.457
2012-06-13,133.483
2012-06-14,133.481
2012-06-15,133.49
2012-06-18,133.524
2012-06-19,133.555
2012-06-20,133.572
2012-06-21,133.596
2012-06-25,133.635
2012-06-26,133.647
2012-06-27,133.662
2012-06-28,133.688
2012-06-29,133.711
2012-07-02,133.7
2012-07-03,133.754
2012-07-04,133.777
2012-07-05,133.797
2012-07-06,133.778
2012-07-09,133.852
2012-07-10,133.879
2012-07-11,133.902
2012-07-12,133.893
2012-07-13,133.937
2012-07-16,133.982
2012-07-17,133.975
2012-07-18,133.954
2012-07-19,133.992
2012-07-20,133.994
2012-07-23,134.043
2012-07-24,134.026
2012-07-25,134.056
2012-07-26,134.067
2012-07-27,134.064
2012-07-30,134.118
2012-07-31,134.122
2012-08-01,134.167
2012-08-02,134.183
2012-08-03,134.202
2012-08-06,134.172
2012-08-07,134.2
2012-08-08,134.198
2012-08-09,134.195
2012-08-10,134.261
2012-08-13,134.29
2012-08-14,134.31
2012-08-15,134.331
2012-08-16,134.344
2012-08-17,134.352
2012-08-20,134.383
2012-08-21,134.389
2012-08-22,134.385
2012-08-23,134.396
2012-08-24,134.418
2012-08-27,134.458
2012-08-28,134.47
2012-08-29,134.482
2012-08-30,134.477
2012-08-31,134.509
2012-09-03,134.558
2012-09-04,134.569
2012-09-05,134.581
2012-09-06,134.594
2012-09-07,134.594
2012-09-10,134.626
2012-09-11,134.583
2012-09-12,134.594
2012-09-13,134.626
2012-09-14,134.629
2012-09-17,134.597
2012-09-18,134.611
2012-09-19,134.627
2012-09-20,134.631
2012-09-21,134.647
2012-09-24,134.679
2012-09-25,134.723
2012-09-26,134.747
2012-09-27,134.764
2012-09-28,134.801
2012-10-08,134.924
2012-10-09,134.93
2012-10-10,134.946
2012-10-11,134.958
2012-10-12,134.965
2012-10-15,135.012
2012-10-16,135.034
2012-10-17,135.046
2012-10-18,135.059
2012-10-19,135.076
2012-10-22,135.106
2012-10-23,135.121
2012-10-24,135.135
2012-10-25,135.146
2012-10-26,135.166
2012-10-29,135.193
2012-10-30,135.196
2012-10-31,135.194
2012-11-01,135.189
2012-11-02,135.201
2012-11-05,135.238
2012-11-06,135.252
2012-11-07,135.261
2012-11-08,135.274
2012-11-09,135.295
2012-11-12,135.331
2012-11-13,135.344
2012-11-14,135.358
2012-11-15,135.372
2012-11-16,135.386
2012-11-19,135.421
2012-11-20,135.438
2012-11-21,135.455
2012-11-22,135.467
2012-11-23,135.474
2012-11-26,135.51
2012-11-27,135.521
2012-11-28,135.528
2012-11-29,135.456
2012-11-30,135.476
2012-12-03,135.51
2012-12-04,135.528
2012-12-05,135.538
2012-12-06,135.552
2012-12-07,135.56
2012-12-10,135.579
2012-12-11,135.415
2012-12-12,135.598
2012-12-13,135.612
2012-12-14,135.633
2012-12-17,135.653
2012-12-18,135.659
2012-12-19,135.677
